1; AFR e AF LAT: Ver croqui de afastamentos no órgão competente
2; AFR: O afastamento frontal não será exigido para os lotes menores que formam o alargamento para retorno de veículos, no final da via de acesso da Quadras Internas (QI
3; MARQUISE: Marquise obrigatória com 2,50m no pavimento de acesso de pedestre, respeitado o disposto no art. 24, § 4º
4; MARQUISE: Marquise obrigatória com 3,00m no pavimento de acesso de pedestre, respeitado o disposto no art. 24, § 4º
5;" UOS: Tipo A - SHIS QI 3 Lt A; SHIS EQI 9/11 Lt K, L ,M e N"
6; UOS: Tipo B - SHIS QI 1 Lt B, SHIS QI 15 Lt E, SHIS QI 21 Lt K, L, M
7; GALERIA: Galeria obrigatória de 3,50m na divisa frontal
8; TX OCUP, CFA B e CFA M: O pavimento da galeria da Pj 3 deve ser considerado como parte integrante do Lt 3 para efeitos de taxa de ocupação e coeficientes de aproveitamento
9;" UOS: Tipo A - SHIS QI 1 Lt A; SHIS QL 2 Lt B; SHIS QI 9 Lt C e L; SHIS EQL 6/8 Lt E; SHIS EQI 7/9 Lt C; SHIS QI 15 Lt B, I, J, K, L, M e SHIS QI 16 Lt N"
10; UOS: Tipo B - SHIS QI 7 Lt E e F, SHIS QI 9  Lt D e E
11; UOS: Tipo C - SHIS EQI 7/9 Lt F, SHIS QI 11 AE K, SHIS QI 15 Lt F, G e O
12; UOS: Tipo D - SHIS QI 15 Lt Dom Orione e SHIS EQI 17/19 Lt Seminário
13; TX OCUP, CFA B e CFA M: Taxa de ocupação e coeficiente de aproveitamento excluem a cobertura
14; UOS: Nos lotes registrados pela URB 156/92, é permitido o avanço da cobertura em área pública com 2,70m na maior dimensão e 5,00m na menor dimensão do lote
15; ALT MAX: Altura máxima inclui a cobertura
16; UOS: Tipo A - SHIS QI 3 Lt 1 e 2 PLL, SHIS QI 5 Lt 1 PLL, SHIS EPDB QI 11/QL 12 Lt 1 PAG, SHIS QI 13 Lt 1 PLL, SHIS QI 21 Lt 1 e 2 PLL, SHIS QI 23 Lt 1 PLL, SHIS QI 26 Lt 1 e 2 PLL, SHIS QI 28 Lt 1 e 2 PLL, SHIS QI 29 Lt 1 PLL
17;(1) AFR e AF LAT: Ver croqui de afastamentos no órgão competente     (2) AFR: O afastamento frontal não será exigido para os lotes menores que formam o alargamento para retorno de veículos, no final da via de acesso da Quadras Internas (QI
18;(13) TX OCUP, CFA B e CFA M: Taxa de ocupação e coeficiente de aproveitamento excluem a cobertura        (14) UOS: Nos lotes registrados pela URB 156/92, é permitido o avanço da cobertura em área pública com 2,70m na maior dimensão e 5,00m na menor dimensão do lote        (15) ALT MAX: Altura máxima inclui a cobertura
19;(15) ALT MAX: Altura máxima inclui a cobertura      (16) UOS: Tipo A - SHIS QI 3 Lt 1 e 2 PLL, SHIS QI 5 Lt 1 PLL, SHIS EPDB QI 11/QL 12 Lt 1 PAG, SHIS QI 13 Lt 1 PLL, SHIS QI 21 Lt 1 e 2 PLL, SHIS QI 23 Lt 1 PLL, SHIS QI 26 Lt 1 e 2 PLL, SHIS QI 28 Lt 1 e 2 PLL, SHIS QI 29 Lt 1 PLL
